RECORD_ID,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,SSN_LAST4,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,HOME_ADDR_LINE1,HOME_ADDR_CITY,HOME_ADDR_STATE,HOME_ADDR_POSTAL_CODE,HOME_ADDR_COUNTRY,HOME_PHONE_NUMBER,CELL_PHONE_NUMBER,EMAIL_ADDRESS,DATE,STATUS,AMOUNT
1060,Roderick,R,,,,,,,,,,,,,,,,,9714218250,,,1/17/2018,Active,100
1061,Andreason,,,,,,,,,,,,,,,,,,,(807) 422-9031,,1/18/2018,Active,200
1062,Andreason,,,,,,,,,,,,,,,,,,807-422-9031,,,1/19/2018,Active,300
1063,Mooney,Susan,,,6/15/98,,,,,,,,,,,,,,,,,1/20/2018,Active,400
1064,Mooney,Susanne,,,6/15/98,1231345345,US,,,,,,,,,,,,,,,1/21/2018,Active,500
1065,Mooney,Susan,,,,1231345345,US,8923322,OR,,,,,,,,,,,,,1/22/2018,Active,600
1066,Mooney,Susan,,,,,,8923322,OR,521-21-2123,,,,,,,,,,,,1/23/2018,Active,700
1067,Moonie,Susan,,,,,,,,521212123,,,,"638 Downey St, Salem, OR",,,,,,,,1/24/2018,Active,800
1068,Moony,Susan,,,,,,,,,,,,"Adventura Aparments 638 Downey St, Salem, OR",,,,,,,,1/25/2018,Active,900
1069,王杰,,,M,9/14/93,,,,,,,832721,,12 Constitution Street ,,,,,,,,1/26/2018,Active,100
1070,Wang,Jie,,Male,9/14/93,,,,,,,832721,Hong Kong,12 Constitution Street ,,,,,,,,1/27/2018,Active,200
1071,王伟,,,F,9/14/97,,,,,,,7123833,China,"169 3rd Ave. Camden, NJ 08030",,,,,,,,1/28/2018,Active,300
1072,Wang,Wei,,Female,9/14/97,,,,,,,7123833,China,"169 3rd Ave. Camden, NJ 08030",,,,,,,,1/29/2018,Active,400
1073,张伟,,,M,8/2/06,,,,,,,,,"173 John Lane, Camden, NJ 08030",,,,,,,,1/30/2018,Active,500
1074,Zhang,Wei,,Male,2/8/06,,,,,,,,,"173 John Lane, 08030",,,,,,,,1/31/2018,Active,600
1075,张秀英,,,F,2/4/31,,,,,,,,,"329 Leatherwood Street, Las Vegas, 89117",,,,,,,,1/2/2018,Active,700
1076,Zhang,Xiu Ying,,Female,4/2/31,,,,,,,,,"329 Leatherwood Street, Las Vegas, NV",,,,,,,,1/3/2018,Active,800
1077,刘杰,,,F,6/25/08,,,,,,,,,37 Campfire St. ,,,,,,,,1/4/2018,Active,900
1078,Liu,Jie,,Unknown,25-Jun-08,,,,,,,,,37 Campfire St. ,,,,,,,,1/5/2018,Active,100
1079,Brown,Jeffrey,,U,6/21/82,,,,,,3241,,,,,,,,,,,1/6/2018,Active,200
1080,Brown Jr,Geoffrey,,M,6/21/82,,,,,,3241,,,,,,,,,,,1/7/2018,Active,300
1081,Frankens,George,,,15-Mar-92,234456456,DE,,,,,,,"Ansbacher Strasse 23, 56422 Dusseldorf",,,56244,,,,,1/8/2018,Active,400
1082,Frankens,Georg,,,15-Mar-92,234456456,Germany,,,,,,,23 Ansbacher Street,Dusseldorf,,56244,Germany,,,,1/9/2018,Active,500
1083,Klempski,Morris,,,17-May-90,34543555,CA,,,,,,,"Skyline Apartments, 705 Sheppard Ave",Toronto,,M1S 1T4,,,,,1/10/2018,Active,600
1084,Klempsky,Morrie,,,17-May-90,34543555,Canada,,,,,,,705 Sheppard Ave,Toronto,,M1S 1T4,CAN,,,,1/11/2018,Active,700
1085,D'esquire,Ellie,,,19-Feb-91,,,,,,,,,,,,,,0352 6553537,,dellie@fmail.com,1/12/2018,Active,800
1086,Desqueir,Ellie,,,19-Feb-91,,,,,,,,,,,,,,+39 0352 6553537,,dellie@fmail.com,1/13/2018,Active,900
1087,Wiest,George,,M,3/12/87,,,,,,,,,,,,,,702-221-2412,,pfranks@ishmail.com,1/14/2018,Active,100
1088,Weest,George,,F,3/12/87,,,,,,,,,,,,,,221-2412,,pfranks@ishmail.com,1/15/2018,Active,200
1089,Klein,Morris I,,,4/12/82,,,,,,,,,,,,,,,,,1/16/2018,Active,300
1090,Klein,Morris II,,,4/12/82,,,,,,,,,,,,,,,,,1/17/2018,Active,400
1091,Ohare,Ellie,,,8/15/67,,,,,,,,,,,,,,0352 6553537,,ellie.ohare@fmail.com,1/18/2018,Active,500
1092,O'hare,Ellie,,,8/15/67,,,,,,,,,,,,,,+39 0352 6553537,,ellie.ohare@fmail.com,1/19/2018,Active,600
1093,Anderson,Amanda,,,3/12/87,,,73423499,MN,,,,,,,,,,,,,1/20/2018,Active,700
1094,Jones,Amanda,,,3/12/87,,,73423499,MN,,,,,,,,,,,,,1/21/2018,Active,800
1095,Aguilar,Juan,,Male,4/12/82,,,234234455,MN,,,,,,,,,,,,,1/22/2018,Active,900
1096,Aguilar,Juann,,,4/12/82,,,234234455,MN,,,,,,,,,,,,,1/23/2018,Active,100
1097,Sanchez,Marie,,,,,,,,,,,,P.O. Box 12987,Andersonville,IL,60611,,,982-122-2332,mickey@mmail.com,1/24/2018,Active,200
1098,Sanchez Mendoza,Marie,,,,,,,,,,,,PO BOX 12987,Chicago,IL,60611,,,656-237-2191,mickey@mmail.com,1/25/2018,Active,300
1099,Aguilar,Anna Maria,,Female,,,,,,,,,,1812 Overture way,Chicago,IL,,,,818-291-2881,mouse@mmail.com,1/26/2018,Active,400
1100,Aguilar,Anna,Marie,Unknown,,,,,,,,,,9881 Freedom way,Chicago,IL,,,,818-291-2881,mouse@mmail.com,1/27/2018,Active,500
1101,Miller,Mark,,,,,,,,,,,,,,,,,,,mark@marksfoods.com,1/28/2018,Active,600
1102,Milner,Mark,,,,,,,,,,,,,,,,,,,mark@marksfoods.com,1/29/2018,Active,700
1103,Becker,Anabella,,U,,,,823123,TX,,,,,,,,,,,,,1/30/2018,Active,800
1104,Becker,Annabelle,,F,,,,823123,Texas,,,,,,,,,,,,,1/31/2018,Active,900
